city,state,zip,phone,intake1,intake2,intake1a,intake2a,facility_name,address,type_of_care,service_setting,facility_type,pharmacotherapies,treatment_approaches,emergency_services,facility_operation,license_certification,payment_funding,payment_assistance,special_programs_groups,assessment_pretreatment,testing,recovery_support,education_counseling,smoking_policy,age_groups_accepted,language_services,vaping_policy,ancillary_services,all_services_list,assertive community treatment,assisted outpatient treatment,case management service,chronic disease,court-ordered outpatient treatment,diet and exercise counseling,education services,family psychoeducation,housing services,illness management,illness management and recovery,integrated primary care services,intensive case management,legal advocacy,mentoring,peer support,psychosocial rehabilitation services,suicide prevention services,supported employment,supported housing,therapeutic foster care,vocational rehabilitation services,cluster_label,tier_name,source_confidence,data_scope
Florham Park,NJ,07932,973-971-4635,888-247-1400,,,,Atlantic Behavioral Health Chemical Dependency Outpatient Service,25 Vreeland Avenue,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Chlorpromazine, Clozapine, Droperidol, Fluphenazine, Haloperidol, Loxapine, Olanzapine, Perphenazine, Pimozide, Prochlorperazine, Thioridazine, Thiothixene, Trifluoperazine","Cognitive behavioral therapy, Couples/family therapy, Individual psychotherapy, Telemedicine / telehealth therapy",Psychiatric emergency mobile/off-site services,Private non-profit organization,,"Cash or self-payment, Medicare, Private health insurance",,"Clients with co-occurring mental and substance use disorders, Clients with trauma, Persons 18 and older with serious mental illness, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans, Young adults",,,,Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Children / adolescents, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping not permitted,"Family psychoeducation, Suicide prevention services","['family psychoeducation', 'suicide prevention services']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Florham Park,NJ,07932,973-765-9050,973-765-9050 x1710,,,,Jewish Family Service of  MetroWest New Jersey,256 Columbia Turnpike Suite 105,Mental health treatment,Outpatient,Outpatient mental health facility,,"Cognitive behavioral therapy, Couples/family therapy, Group therapy, Individual psychotherapy, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Community Mental Health Block Grants, Community Service Block Grants, County or local government funds, Federal military insurance, Medicaid, Medicare, Other State funds, Private health insurance, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid",Sliding fee scale,"Clients with intimate partner violence or domestic violence experience, Clients with trauma, Seniors or older adults, Young adults",,,Mentoring / peer support,,Smoking permitted without restriction,"Adults, Children / adolescents, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping permitted without restriction,"Case management service, Education services, Family psychoeducation, Legal advocacy","['case management service', 'education services', 'family psychoeducation', 'legal advocacy', 'mentoring', 'peer support']",0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Franklinville,NJ,08322,856-694-4050,856-694-4050 x3400,856-694-4050 x3402,,,Catholic Charities Diocese of Trenton Delaware House IRP South,,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions","Outpatient, Partial hospitalization / day treatment",Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Chlorpromazine, Fluphenazine, Haloperidol, Quetiapine, Risperidone","Group therapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Medicaid, Medicare, Other State funds, Private health insurance","Payment assistance available, Sliding fee scale","Clients with co-occurring mental and substance use disorders, Criminal justice / forensic clients, Persons 18 and older with serious mental illness, Seniors or older adults",,,,Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Seniors, Young adults",,Vaping permitted in designated area,"Case management service, Diet and exercise counseling, Illness management and recovery, Psychosocial rehabilitation services","['case management service', 'diet and exercise counseling', 'illness management and recovery', 'psychosocial rehabilitation services']",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Freehold,NJ,07728,732-780-7387,800-250-9811,,,,CPC Integrated Health CPC Freehold Counseling Center,22 Court Street,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Community mental health center,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Brexpiprazole, Cariprazine, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Iloperidone, Loxapine, Lurasidone, Nicotine replacement, Non-nicotine smoking/tobacco cessation, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Pimozide, Prochlorperazine, Quetiapine, Risperidone, Thioridazine, Thiothixene, Trifluoperazine, Ziprasidone","Abnormal involuntary movement scale, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy","Crisis intervention team, Psychiatric emergency mobile/off-site services",Private non-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Private health insurance, State mental health agency funds",Sliding fee scale,"Children/adolescents with serious emotional disturbance, Clients with co-occurring mental and substance use disorders, Clients with trauma, Criminal justice / forensic clients, Persons 18 and older with serious mental illness, Persons with post-traumatic stress disorder, Young adults",Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring","Housing services, Mentoring / peer support",Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults","Other languages excluding Spanish, Sign language services for the deaf and hard of hearing, Spanish",Vaping permitted in designated area,"Case management service, Court-ordered outpatient treatment, Family psychoeducation, Illness management and recovery, Suicide prevention services","['case management service', 'court-ordered outpatient treatment', 'family psychoeducation', 'illness management and recovery', 'suicide prevention services', 'housing services', 'mentoring', 'peer support']",0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Freehold,NJ,07728,732-294-2858,732-780-6023,732-294-2850,,,CentraState Medical Center Behavioral Health Services,901 West Main Street,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions",Hospital inpatient / 24-hour hospital inpatient,Separate inpatient psychiatric unit of a general hospital,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Clozapine, Fluphenazine, Haloperidol, Lurasidone, Nicotine replacement, Non-nicotine smoking/tobacco cessation, Olanzapine, Paliperidone, Quetiapine, Risperidone, Ziprasidone","Activity therapy, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Electroconvulsive therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment","Crisis intervention team, Psychiatric emergency onsite services, Psychiatric emergency walk-in services",Private non-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Private health insurance, State mental health agency funds, State-financed health insurance plan other than Medicaid",,Persons 18 and older with serious mental illness,Screening for tobacco use,"HIV testing, Laboratory testing, Metabolic syndrome monitoring, STD testing, TB screening, Testing for Hepatitis B, Testing for Hepatitis C",,Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Seniors, Young adults","Other languages excluding Spanish, Sign language services for the deaf and hard of hearing, Spanish",Vaping not permitted,"Court-ordered outpatient treatment, Diet and exercise counseling, Family psychoeducation, Integrated primary care services","['court-ordered outpatient treatment', 'diet and exercise counseling', 'family psychoeducation', 'integrated primary care services']",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Freehold,NJ,07728,732-431-5300,,,,,Counseling Center at Freehold,4345 U.S. Highway 9 North,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,Antipsychotics used in treatment of serious mental illness,"Activity therapy, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Ketamine infusion therapy, Telemedicine / telehealth therapy",,Private for-profit organization,,"Cash or self-payment, Private health insurance",,"Active duty military, Clients with HIV or AIDS, Clients with co-occurring mental and substance use disorders, Clients with trauma, Criminal justice / forensic clients, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons with eating disorders, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans, Young adults",Screening for tobacco use,,Mentoring / peer support,,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",,Vaping permitted without restriction,"Assertive community treatment, Case management service, Court-ordered outpatient treatment, Family psychoeducation, Integrated primary care services, Psychosocial rehabilitation services, Suicide prevention services","['assertive community treatment', 'case management service', 'court-ordered outpatient treatment', 'family psychoeducation', 'integrated primary care services', 'psychosocial rehabilitation services', 'suicide prevention services', 'mentoring', 'peer support']",1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Freehold,NJ,07728,862-239-9896,,,,,Passaic County Peer Wellness Respite,,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,,,,"Crisis intervention team, Psychiatric emergency mobile/off-site services, Psychiatric emergency onsite services",Private non-profit organization,,"Medicaid, State-financed health insurance plan other than Medicaid",Payment assistance available,,,,Mentoring / peer support,,Smoking permitted in designated area,"Adults, Seniors, Young adults",,Vaping permitted in designated area,,"['mentoring', 'peer support']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Glassboro,NJ,08028,844-422-3632,844-422-3632 x9500,,,,Acenda Counseling and Wellness Centers,42 Delsea Drive South,Mental health treatment,Outpatient,Outpatient mental health facility,,"Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Community Service Block Grants, County or local government funds, Medicaid, Medicare, Private health insurance, State welfare or child and family services funds",,"Children/adolescents with serious emotional disturbance, Clients with trauma, LGBTQ, Members of military families, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans, Young adults",,,,,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",,Vaping permitted in designated area,Family psychoeducation,['family psychoeducation'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Glassboro,NJ,08028,856-881-5511,877-922-2377,,,,Center for Family Services The Sanctuary,17 South Delsea Drive,"Mental health treatment, Substance use treatment",Outpatient,Outpatient mental health facility,,,,Private non-profit organization,,Medicaid,Payment assistance available,"Clients with co-occurring mental and substance use disorders, Clients with intimate partner violence or domestic violence experience",Screening for tobacco use,"Laboratory testing, TB screening",,,Smoking permitted in designated area,"Adults, Seniors, Young adults",,Vaping permitted in designated area,"Case management service, Court-ordered outpatient treatment","['case management service', 'court-ordered outpatient treatment']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hackensack,NJ,07601,201-343-8803,201-343-8803 x614,973-482-8411,,,Charles R Fisher Hall,260 Union Street,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,Residential treatment center for children,"Antipsychotics used in treatment of serious mental illness, Chlorpromazine, Risperidone","Abnormal involuntary movement scale, Activity therapy, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Telemedicine / telehealth therapy","Crisis intervention team, Psychiatric emergency onsite services",Private non-profit organization,,"Medicaid, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid",,"Children/adolescents with serious emotional disturbance, Clients with trauma, LGBTQ, Persons with post-traumatic stress disorder",,,,,Smoking not permitted,Children / adolescents,,Vaping not permitted,"Case management service, Family psychoeducation, Psychosocial rehabilitation services","['case management service', 'family psychoeducation', 'psychosocial rehabilitation services']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hackensack,NJ,07601,201-692-2645,201-692-2645 x1,,,,Fairleigh Dickinson University Center for Psychological Services,131 Temple Avenue,Mental health treatment,"Outpatient, Partial hospitalization / day treatment",Outpatient mental health facility,,"Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy",,Private non-profit organization,,"Cash or self-payment, County or local government funds, Other State funds, State education agency funds, U.S. Department of VA funds",Sliding fee scale,"Children/adolescents with serious emotional disturbance, Persons with post-traumatic stress disorder, Persons with traumatic brain injury, Veterans, Young adults",,,,,Smoking permitted without restriction,"Adults, Children / adolescents, Seniors, Young adults",,Vaping permitted without restriction,"Family psychoeducation, Illness management and recovery, Integrated primary care services, Suicide prevention services","['family psychoeducation', 'illness management and recovery', 'integrated primary care services', 'suicide prevention services']",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hackensack,NJ,07601,201-343-8803,201-343-8803 x614,973-482-8411,,,Holley Child Care and Development Center of YCS,,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,Residential treatment center for children,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Quetiapine, Risperidone","Abnormal involuntary movement scale, Activity therapy, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Telemedicine / telehealth therapy",,Private non-profit organization,,"Medicaid, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid",,"Children/adolescents with serious emotional disturbance, Clients with trauma, LGBTQ, Persons with post-traumatic stress disorder",,,,,Smoking not permitted,Children / adolescents,,Vaping not permitted,"Case management service, Family psychoeducation, Psychosocial rehabilitation services","['case management service', 'family psychoeducation', 'psychosocial rehabilitation services']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hackettstown,NJ,07840,908-852-0333,908-689-1000,,,,Family Guidance Ctr of Warren Cnty,108 Bilby Road Suite 302,"Mental health treatment, Substance use treatment",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Brexpiprazole, Cariprazine, Chlorpromazine, Clozapine, Lurasidone, Non-nicotine smoking/tobacco cessation, Olanzapine, Paliperidone, Perphenazine, Quetiapine, Risperidone, Ziprasidone","Cognitive behavioral therapy, Couples/family therapy, Individual psychotherapy, Telemedicine / telehealth therapy",Crisis intervention team,Private non-profit organization,Mental health clinic or mental health center,"Cash or self-payment, Community Service Block Grants, County or local government funds, Medicaid, Medicare, Other State funds, Private health insurance, State corrections or juvenile justice funds, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid",,Clients with trauma,Screening for tobacco use,,,,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping permitted in designated area,"Court-ordered outpatient treatment, Family psychoeducation, Suicide prevention services, Supported employment","['court-ordered outpatient treatment', 'family psychoeducation', 'suicide prevention services', 'supported employment']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hammonton,NJ,08037,609-561-7911,609-646-9159,,,,Atlanticare Behavioral Health Certified Community Behavioral Health,120 South White Horse Pike,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Certified Community Behavioral Health Clinic,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Fluphenazine, Haloperidol, Loxapine, Lurasidone, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Quetiapine, Risperidone, Ziprasidone","Cognitive behavioral therapy, Individual psychotherapy",,Private non-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Private health insurance, State-financed health insurance plan other than Medicaid",Sliding fee scale,,Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring",Mentoring / peer support,Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping permitted in designated area,"Case management service, Suicide prevention services","['case management service', 'suicide prevention services', 'mentoring', 'peer support']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hammonton,NJ,08037,856-694-4050,609-561-7670,,,,Catholic Charities/Diocese of Trenton IRP South Residential Services,46 Fern Lane,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,Residential treatment center for adults,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Cariprazine, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Lurasidone, Olanzapine, Paliperidone, Quetiapine, Risperidone, Ziprasidone","Cognitive behavioral therapy, Integrated Mental and Substance Use Disorder treatment",,Private non-profit organization,,"Cash or self-payment, Medicaid, Medicare, Other State funds, Private health insurance, State mental health agency funds, State-financed health insurance plan other than Medicaid","Payment assistance available, Sliding fee scale","Clients with co-occurring mental and substance use disorders, Criminal justice / forensic clients, Persons 18 and older with serious mental illness, Seniors or older adults",Screening for tobacco use,,Housing services,Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Seniors, Young adults",,Vaping not permitted,"Case management service, Court-ordered outpatient treatment, Diet and exercise counseling, Illness management and recovery, Intensive case management, Suicide prevention services, Supported employment","['case management service', 'court-ordered outpatient treatment', 'diet and exercise counseling', 'illness management and recovery', 'intensive case management', 'suicide prevention services', 'supported employment', 'housing services']",0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hammonton,NJ,08037,609-704-1313,609-704-1313 x116,609-704-1313 x107,,,Unity Place of Atlantic County LLC,121 South Whitehorse Pike Suite A,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Partial hospitalization / day treatment,Partial hospitalization / day treatment,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Clozapine, Haloperidol, Olanzapine, Olanzapine/Fluoxetine combination, Quetiapine, Risperidone","Abnormal involuntary movement scale, Cognitive behavioral therapy, Group therapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private for-profit organization,Mental health clinic or mental health center,"Cash or self-payment, Medicaid, Private health insurance",Sliding fee scale,"Clients with co-occurring mental and substance use disorders, Clients with trauma, Criminal justice / forensic clients, Persons 18 and older with serious mental illness, Persons with post-traumatic stress disorder, Seniors or older adults, Young adults",Screening for tobacco use,,Mentoring / peer support,Smoking / vaping / tobacco cessation counseling,Smoking permitted without restriction,"Adults, Seniors, Young adults",,Vaping permitted without restriction,"Case management service, Court-ordered outpatient treatment, Illness management and recovery, Legal advocacy, Psychosocial rehabilitation services, Vocational rehabilitation services","['case management service', 'court-ordered outpatient treatment', 'illness management and recovery', 'legal advocacy', 'psychosocial rehabilitation services', 'vocational rehabilitation services', 'mentoring', 'peer support']",0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hasbrouck Heights,NJ,07604,201-265-8200,201-986-5000,,,,Care Plus NJ Inc,611 Route 46 West Suite 100,Mental health treatment,Outpatient,Community mental health center,"Antipsychotics used in treatment of serious mental illness, Fluphenazine, Haloperidol","Abnormal involuntary movement scale, Cognitive behavioral therapy, Couples/family therapy, Group therapy, Individual psychotherapy, Telemedicine / telehealth therapy","Crisis intervention team, Psychiatric emergency onsite services",Private non-profit organization,,"Cash or self-payment, Community Mental Health Block Grants, Community Service Block Grants, County or local government funds, Federal military insurance, Medicaid, Medicare, Other State funds, Private health insurance, State corrections or juvenile justice funds, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid, U.S. Department of VA funds",,"Children/adolescents with serious emotional disturbance, Criminal justice / forensic clients, Persons 18 and older with serious mental illness, Young adults",Screening for tobacco use,,"Housing services, Mentoring / peer support",Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults","Sign language services for the deaf and hard of hearing, Spanish",Vaping permitted in designated area,"Assisted Outpatient Treatment, Case management service, Court-ordered outpatient treatment, Diet and exercise counseling, Education services, Family psychoeducation, Intensive case management, Psychosocial rehabilitation services, Suicide prevention services, Supported employment, Supported housing, Vocational rehabilitation services","['assisted outpatient treatment', 'case management service', 'court-ordered outpatient treatment', 'diet and exercise counseling', 'education services', 'family psychoeducation', 'intensive case management', 'psychosocial rehabilitation services', 'suicide prevention services', 'supported employment', 'supported housing', 'vocational rehabilitation services', 'housing services', 'mentoring', 'peer support']",0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,Comprehensive Support Hub,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Haskell,NJ,07420,973-915-4301,973-316-9333,888-746-9333,,,NewBridge Services Inc,1069 Ringwood Avenue Suite 202,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions","Outpatient, Partial hospitalization / day treatment",Community mental health center,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Loxapine, Lurasidone, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Pimozide, Quetiapine, Risperidone, Thiothixene, Ziprasidone","Abnormal involuntary movement scale, Cognitive behavioral therapy, Couples/family therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, County or local government funds, Medicaid, Medicare, Private health insurance, State mental health agency funds, State-financed health insurance plan other than Medicaid",Sliding fee scale,"Clients with co-occurring mental and substance use disorders, Persons 18 and older with serious mental illness",Screening for tobacco use,,,,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",,Vaping permitted in designated area,"Case management service, Court-ordered outpatient treatment, Diet and exercise counseling, Family psychoeducation, Illness management and recovery, Suicide prevention services","['case management service', 'court-ordered outpatient treatment', 'diet and exercise counseling', 'family psychoeducation', 'illness management and recovery', 'suicide prevention services']",0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Hoboken,NJ,07030,201-792-8200,201-792-8192,,,,Hoboken University Medical Center Community Mental Health Center,122 Clinton Street,Mental health treatment,Outpatient,Community mental health center,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Clozapine, Fluphenazine, Haloperidol, Iloperidone, Lurasidone, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Quetiapine, Risperidone, Ziprasidone","Cognitive behavioral therapy, Couples/family therapy, Group therapy, Individual psychotherapy",,Private non-profit organization,Federally Qualified Health Center,"Federal military insurance, Medicaid, Medicare, Private health insurance, State corrections or juvenile justice funds, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid",,,Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring",,,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults","Other languages excluding Spanish, Spanish",Vaping permitted without restriction,"Court-ordered outpatient treatment, Family psychoeducation, Suicide prevention services","['court-ordered outpatient treatment', 'family psychoeducation', 'suicide prevention services']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Howell,NJ,07731,732-987-8200,800-250-9811,,,,CPC Integrated Health CPC Howell Counseling Center,4539 U.S. Highway 9,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Community mental health center,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Brexpiprazole, Cariprazine, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Iloperidone, Loxapine, Lurasidone, Nicotine replacement, Non-nicotine smoking/tobacco cessation, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Pimozide, Prochlorperazine, Quetiapine, Risperidone, Thioridazine, Thiothixene, Trifluoperazine, Ziprasidone","Abnormal involuntary movement scale, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy","Crisis intervention team, Psychiatric emergency mobile/off-site services",Private non-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Private health insurance, State mental health agency funds",Sliding fee scale,"Children/adolescents with serious emotional disturbance, Clients with co-occurring mental and substance use disorders, Clients with trauma, Criminal justice / forensic clients, Persons 18 and older with serious mental illness, Persons with post-traumatic stress disorder, Young adults",Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring","Housing services, Mentoring / peer support",Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults","Other languages excluding Spanish, Sign language services for the deaf and hard of hearing, Spanish",Vaping permitted in designated area,"Case management service, Court-ordered outpatient treatment, Family psychoeducation, Illness management and recovery, Suicide prevention services","['case management service', 'court-ordered outpatient treatment', 'family psychoeducation', 'illness management and recovery', 'suicide prevention services', 'housing services', 'mentoring', 'peer support']",0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
